Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
01-01-2017;IN;New Delhi;pm25;24;54.9;282.7;177.7
01-01-2017;CN;Shanghai;pm25;215;12.0;63.2;34.4
01-01-2017;US;Jacksonville;pm25;115;3.1;113.6;8.1
01-01-2017;US;Los Angeles;pm25;69;3.3;109.7;15.9
01-01-2017;US;Manhattan;pm25;96;4.3;23.0;12.1
01-01-2017;CN;Beijing;pm25;386;214.0;6.638.920.904.977.370;453.4
01-01-2017;US;Houston;pm25;95;4.8;92.2;14.9
02-01-2017;CN;Beijing;pm25;456;3.1;5.291.259.547.511.310;241.3
02-01-2017;US;Houston;pm25;93;0.2;14.9;6.7
02-01-2017;CN;Shanghai;pm25;216;26.8;125.2;63.2
02-01-2017;IN;New Delhi;pm25;24;54.9;309.0;173.7
02-01-2017;US;Jacksonville;pm25;111;1.2;14.9;5.0
02-01-2017;US;Manhattan;pm25;96;4.8;23.0;12.0
02-01-2017;US;Los Angeles;pm25;70;0.4;35.4;7.2
02-01-2017;CN;Wuhan;pm25;272;35.9;182.7;115.5
03-01-2017;IN;New Delhi;pm25;24;113.6;451.9;175.7
03-01-2017;CN;Shanghai;pm25;214;55.5;176.7;88.4
03-01-2017;CN;Wuhan;pm25;405;109.7;241.3;146.5
03-01-2017;US;Houston;pm25;84;0.2;12.1;6.0
03-01-2017;CN;Beijing;pm25;445;136.8;6.426.929.230.769.230;332.2
03-01-2017;US;Manhattan;pm25;96;0.2;19.7;5.7
03-01-2017;US;Jacksonville;pm25;104;0.4;20.1;4.0
03-01-2017;US;Los Angeles;pm25;72;5.5;30.1;14.9
04-01-2017;CN;Shanghai;pm25;212;17.8;76.8;52.9
04-01-2017;CN;Wuhan;pm25;403;88.4;276.7;172.7
04-01-2017;US;Jacksonville;pm25;99;2.1;12.0;5.0
04-01-2017;US;Los Angeles;pm25;69;2.4;34.9;16.8
04-01-2017;IN;New Delhi;pm25;21;48.0;307.0;196.9
04-01-2017;US;Manhattan;pm25;91;0.9;23.9;8.6
04-01-2017;CN;Beijing;pm25;438;3.1;6.911.481.628.959.270;382.2
04-01-2017;US;Houston;pm25;80;1.6;15.4;5.5
05-01-2017;CN;Beijing;pm25;452;3.1;415.6;210.0
05-01-2017;CN;Wuhan;pm25;399;9.1;152.5;25.8
05-01-2017;US;Manhattan;pm25;87;1.9;17.8;9.6
05-01-2017;US;Jacksonville;pm25;100;2.1;15.9;5.0
05-01-2017;IN;New Delhi;pm25;23;76.8;219.1;173.7
05-01-2017;US;Houston;pm25;72;4.8;17.3;12.1
05-01-2017;CN;Shanghai;pm25;213;8.1;57.4;25.8
05-01-2017;US;Los Angeles;pm25;55;0.2;21.1;6.9
06-01-2017;US;Houston;pm25;72;4.0;9.8;6.7
06-01-2017;US;Los Angeles;pm25;56;0.7;21.6;9.1
06-01-2017;US;Jacksonville;pm25;96;1.2;15.9;5.0
06-01-2017;IN;New Delhi;pm25;23;96.1;243.3;152.5
06-01-2017;US;Manhattan;pm25;94;1.9;23.0;11.2
06-01-2017;CN;Shanghai;pm25;212;3.1;41.9;21.1
06-01-2017;CN;Wuhan;pm25;402;2.1;39.9;16.8
06-01-2017;CN;Beijing;pm25;442;3.1;444.3;208.0
07-01-2017;CN;Shanghai;pm25;176;1.2;42.8;12.5
07-01-2017;US;Jacksonville;pm25;23;1.2;9.8;5.2
07-01-2017;US;Los Angeles;pm25;71;0.2;51.7;11.2
07-01-2017;US;Houston;pm25;72;3.1;16.3;5.5
07-01-2017;US;Manhattan;pm25;85;1.2;21.6;10.3
07-01-2017;CN;Beijing;pm25;438;41.9;316.0;188.8
07-01-2017;IN;New Delhi;pm25;24;55.5;184.8;134.9
07-01-2017;CN;Wuhan;pm25;405;3.1;55.5;25.8
08-01-2017;IN;New Delhi;pm25;23;100.0;159.5;127.1
08-01-2017;US;Houston;pm25;72;0.4;18.7;6.9
08-01-2017;CN;Beijing;pm25;453;3.1;266.6;23.9
08-01-2017;CN;Shanghai;pm25;194;3.1;125.2;78.7
08-01-2017;US;Los Angeles;pm25;71;2.1;52.5;13.0
08-01-2017;US;Jacksonville;pm25;72;1.2;15.9;5.0
08-01-2017;CN;Wuhan;pm25;404;23.9;125.2;48.0
08-01-2017;US;Manhattan;pm25;88;0.4;43.2;10.8
09-01-2017;CN;Beijing;pm25;434;3.1;179.7;14.9
09-01-2017;US;Houston;pm25;72;2.1;18.2;5.7
09-01-2017;US;Jacksonville;pm25;80;1.2;9.6;4.0
09-01-2017;IN;New Delhi;pm25;24;96.1;225.1;140.7
09-01-2017;CN;Wuhan;pm25;398;74.8;134.9;101.9
09-01-2017;CN;Shanghai;pm25;215;10.0;92.2;63.2
09-01-2017;US;Manhattan;pm25;74;4.8;14.4;9.6
09-01-2017;US;Los Angeles;pm25;69;1.4;33.0;9.1
10-01-2017;US;Jacksonville;pm25;66;0.4;31.1;4.8
10-01-2017;US;Houston;pm25;72;1.9;19.7;6.0
10-01-2017;US;Los Angeles;pm25;70;1.2;23.5;9.8
10-01-2017;CN;Beijing;pm25;433;3.1;211.0;10.0
10-01-2017;CN;Shanghai;pm25;216;55.5;103.9;80.6
10-01-2017;CN;Wuhan;pm25;367;25.8;134.9;92.2
10-01-2017;IN;New Delhi;pm25;23;32.0;208.0;109.7
10-01-2017;US;Manhattan;pm25;72;4.3;19.2;10.5
11-01-2017;US;Houston;pm25;72;2.8;22.0;6.7
11-01-2017;CN;Wuhan;pm25;395;59.3;153.5;107.7
11-01-2017;IN;New Delhi;pm25;24;3.1;225.1;146.5
11-01-2017;CN;Beijing;pm25;429;2.1;379.2;84.5
11-01-2017;US;Los Angeles;pm25;65;0.2;23.5;9.1
11-01-2017;US;Jacksonville;pm25;94;1.2;17.3;3.6
11-01-2017;US;Manhattan;pm25;72;4.0;20.1;13.0
11-01-2017;CN;Shanghai;pm25;216;7.2;69.0;30.1
12-01-2017;US;Jacksonville;pm25;114;0.2;22.5;3.1
12-01-2017;CN;Shanghai;pm25;210;2.1;94.2;52.1
12-01-2017;CN;Beijing;pm25;420;6.0;382.2;35.9
12-01-2017;US;Houston;pm25;72;4.3;19.7;7.9
12-01-2017;US;Manhattan;pm25;72;4.3;20.6;12.1
12-01-2017;IN;New Delhi;pm25;23;69.0;400.4;244.3
12-01-2017;CN;Wuhan;pm25;378;52.9;136.8;92.2
12-01-2017;US;Los Angeles;pm25;70;0.2;17.3;6.2
13-01-2017;US;Houston;pm25;73;0.2;12.1;6.2
13-01-2017;CN;Wuhan;pm25;350;10.0;168.6;78.7
13-01-2017;IN;New Delhi;pm25;24;63.2;451.9;239.3
13-01-2017;US;Manhattan;pm25;72;4.5;23.0;9.1
13-01-2017;CN;Beijing;pm25;451;2.1;140.7;14.0
13-01-2017;US;Los Angeles;pm25;72;5.5;32.5;13.0
13-01-2017;CN;Shanghai;pm25;215;61.3;146.5;96.1
13-01-2017;US;Jacksonville;pm25;109;0.4;16.3;4.0
14-01-2017;US;Los Angeles;pm25;70;3.6;38.7;19.2
14-01-2017;CN;Wuhan;pm25;211;42.8;132.9;67.1
14-01-2017;CN;Beijing;pm25;451;3.1;63.2;21.1
14-01-2017;US;Jacksonville;pm25;93;1.2;20.6;5.2
14-01-2017;US;Manhattan;pm25;72;3.1;16.8;8.8
14-01-2017;IN;New Delhi;pm25;24;127.1;5.669.816.108.597.280;246.3
14-01-2017;CN;Shanghai;pm25;216;2.1;92.2;17.8
14-01-2017;US;Houston;pm25;71;1.9;13.0;5.2
15-01-2017;CN;Shanghai;pm25;204;1.2;35.9;12.0
15-01-2017;IN;New Delhi;pm25;24;69.0;284.8;185.8
15-01-2017;CN;Beijing;pm25;453;18.7;119.4;48.9
15-01-2017;US;Houston;pm25;75;0.2;11.5;5.0
15-01-2017;US;Jacksonville;pm25;91;1.2;26.3;6.4
15-01-2017;US;Manhattan;pm25;72;4.5;16.3;11.7
15-01-2017;US;Los Angeles;pm25;70;1.4;32.5;12.0
15-01-2017;CN;Wuhan;pm25;216;16.8;80.6;48.9
16-01-2017;US;Houston;pm25;81;0.2;17.8;6.9
16-01-2017;IN;New Delhi;pm25;23;84.5;231.2;159.5
16-01-2017;US;Manhattan;pm25;72;9.6;20.6;14.4
16-01-2017;CN;Wuhan;pm25;254;39.9;10.061.072.217.194.500;67.1
16-01-2017;US;Jacksonville;pm25;90;0.4;16.8;2.8
16-01-2017;US;Los Angeles;pm25;72;3.6;23.0;13.0
16-01-2017;CN;Beijing;pm25;450;3.1;158.5;96.1
16-01-2017;CN;Shanghai;pm25;216;7.2;32.0;16.8
17-01-2017;IN;New Delhi;pm25;23;78.7;241.3;123.2
17-01-2017;CN;Wuhan;pm25;392;41.9;115.5;63.2
17-01-2017;US;Houston;pm25;68;0.2;12.0;3.8
17-01-2017;CN;Beijing;pm25;435;3.1;308.0;148.4
17-01-2017;CN;Shanghai;pm25;213;14.0;72.9;40.7
17-01-2017;US;Jacksonville;pm25;94;1.2;13.5;4.5
17-01-2017;US;Manhattan;pm25;72;6.4;30.6;17.3
17-01-2017;US;Los Angeles;pm25;69;3.8;37.1;17.3
18-01-2017;US;Los Angeles;pm25;72;0.4;47.2;14.0
